zip	state	mean_income	median_income	population
02152	MA	68218	82769	18303
02155	MA	69803	82586	57291
02163	MA	23429	39215	929
02169	MA	56647	69210	52278
02170	MA	64309	77390	19203
02171	MA	66808	80719	16610
02176	MA	85681	95604	27173
02180	MA	78103	86637	22116
02184	MA	77129	95668	33731
02186	MA	98712	125636	26112
02188	MA	65251	80495	13828
02189	MA	62491	73956	14455
02190	MA	74205	89585	16780
02191	MA	68143	75926	8916
02199	MA	68080	149005	1004
02203	MA	106602	135049	1
02210	MA	61807	86291	413
02215	MA	30726	51218	21896
02301	MA	48470	58674	61459
02302	MA	62408	66149	32523
02322	MA	67313	77494	4483
02324	MA	80879	87642	22922
02330	MA	70048	77569	11169
02332	MA	116904	149633	14241
02333	MA	82133	89922	13012
02339	MA	104787	118371	13171
02341	MA	81912	90515	9550
02343	MA	62560	74251	10705
02346	MA	72466	80698	19926
02347	MA	94495	102487	9810
02351	MA	75850	83124	14614
02356	MA	99682	123583	12966
02357	MA	101136	146319	323
02359	MA	83622	95280	16907
02360	MA	74603	86753	51563
02364	MA	78923	100027	11805
02366	MA	89632	93117	126
02367	MA	87917	98668	2622
02368	MA	65118	74837	30999
02370	MA	62855	74684	17665
02375	MA	78410	93429	9034
02379	MA	73651	88014	6610
02382	MA	77027	83066	13867
02420	MA	139453	181881	14109
02421	MA	126827	167894	16360
02445	MA	105027	160933	21282
02446	MA	67338	105307	24351
02451	MA	78675	95995	17553
02452	MA	67088	84728	12642
02453	MA	59067	75080	29043
02457	MA	179792	273410	551
02458	MA	90740	123497	12603
02459	MA	128598	176962	18940
02460	MA	107495	140026	8772
02461	MA	110373	149143	6599
02462	MA	134119	208054	1679
02464	MA	81143	111517	2958
02465	MA	110531	158982	11789
02466	MA	115116	167280	7010
02467	MA	130044	220734	15408
02468	MA	166454	240445	5429
02472	MA	74968	89065	32913
02474	MA	82845	100434	25806
02476	MA	83975	104445	16533
02478	MA	95269	133543	24296
02481	MA	173681	243579	14503
02482	MA	123003	185218	11569
02492	MA	118211	168697	20064
02493	MA	147946	277514	11526
02494	MA	104492	139639	8885
02532	MA	60257	73420	11275
02534	MA	60788	74722	865
02535	MA	68906	98197	1182
02536	MA	61733	75012	19684
02537	MA	86643	98309	5732
02538	MA	54545	65412	3528
02539	MA	67625	93683	3771
02540	MA	58667	96888	8794
02542	MA	39803	51101	1588
02543	MA	82355	136359	845
02553	MA	70197	80940	249
02554	MA	61502	92073	6889
02556	MA	67750	87409	3352
02557	MA	59156	75430	3684
02558	MA	51662	60627	1779
02559	MA	62761	76026	3309
02561	MA	68597	79039	481
02562	MA	68960	79286	2881
02563	MA	84184	97817	10346
02564	MA	81944	158042	388
02568	MA	516	691	31
02571	MA	55500	66214	10045
02575	MA	68906	98197	2438
02576	MA	62034	70428	3213
02584	MA	81944	158042	4
02601	MA	44219	55017	15104
02630	MA	71383	104286	1873
02631	MA	58280	76849	9796
02632	MA	67464	81140	11376
02633	MA	65871	102922	4282
02635	MA	75166	104492	3412
02637	MA	71516	104499	277
02638	MA	56770	75909	3700
02639	MA	47356	62216	3363
02641	MA	61013	80493	719
02642	MA	59536	74408	5431
02643	MA	62589	82230	45
02644	MA	82198	86837	3876
02645	MA	55137	75251	9578
02646	MA	52700	74549	1947
02647	MA	47353	56686	168
02648	MA	71212	91677	7610
02649	MA	62993	80307	12960
02650	MA	64477	105609	979
02651	MA	54464	69597	13
02652	MA	80425	82651	1288
02653	MA	57062	76182	6359
02655	MA	72786	103288	3956
02657	MA	44646	65485	3430
02659	MA	67569	99647	1102
02660	MA	52611	66274	6546
02663	MA	66109	85199	130
02664	MA	46673	59893	9702
02666	MA	80425	82651	790
02667	MA	66118	85193	2614
02668	MA	71947	99935	3274
02669	MA	67569	99647	259
02670	MA	36555	54887	1630
02671	MA	55677	85191	1061
02672	MA	51601	62500	249
02673	MA	46414	61552	8985
02675	MA	63557	80124	6712
02702	MA	91095	91631	3869
02703	MA	67398	77813	41916
02713	MA	68906	98197	55
02715	MA	83613	90286	2591
02717	MA	75793	83033	4594
02718	MA	81142	82796	6406
02719	MA	53936	63866	16150
02720	MA	47794	57117	31309
02721	MA	32106	42516	26428
02723	MA	30338	38251	16231
02724	MA	30652	40877	17397
02725	MA	65712	67216	2663
02726	MA	68267	76224	15530
02738	MA	101006	125277	5118
02739	MA	74877	92712	6282
02740	MA	38238	47584	43249
02743	MA	70836	76925	10148
02744	MA	31128	48515	11667
02745	MA	51951	59328	23851
02746	MA	24099	35477	14861
02747	MA	72292	79915	19451
02748	MA	72885	89832	11531
02760	MA	79274	89441	25526
02762	MA	73645	82637	7678
02763	MA	76722	87166	1782
02764	MA	83621	90292	3623
02766	MA	77953	90784	17869
02767	MA	76338	88696	11839
02769	MA	90530	106149	10179
02770	MA	95022	97975	4397
02771	MA	73961	90916	13507
02777	MA	70245	82590	15945
02779	MA	81125	90841	5748
02780	MA	53796	62457	49469
02790	MA	68367	83137	14305
02791	MA	72105	100424	302
02802	RI	62982	77405	733
02804	RI	71104	79440	2574
02806	RI	105128	131774	16818
02807	RI	75417	99379	1009
02808	RI	73725	87590	2279
02809	RI	65256	80115	22438
02812	RI	72819	89720	1216
02813	RI	69956	87827	7847
02814	RI	79171	84321	7664
02815	RI	78476	93391	257
02816	RI	68135	75982	31625
02817	RI	81419	95881	5095
02818	RI	90430	117615	18176
02822	RI	98411	105363	5697
02825	RI	73268	95033	4922
02826	RI	65948	78029	832
02827	RI	79051	88882	2149
02828	RI	78326	92802	7396
02830	RI	65423	75289	5806
02831	RI	68687	81386	3487
02832	RI	71453	81507	4481
02833	RI	71104	79440	708
02835	RI	77813	107319	5617
02836	RI	72819	89720	98
02837	RI	94866	114713	3592
02838	RI	62982	77405	3712
02839	RI	65948	78029	1833
02840	RI	58815	77476	25661
02841	RI	53958	58483	840
02842	RI	70801	83980	17305
02852	RI	76449	96571	23107
02857	RI	74686	86941	8462
02858	RI	65948	78029	545
02859	RI	70127	77007	6798
02860	RI	35154	44984	46470
02861	RI	53929	61309	26624
02863	RI	33666	40875	18946
02864	RI	73450	84792	31834
02865	RI	75540	94794	16435
02871	RI	59264	80285	12418
02872	RI	71705	94978	88
02873	RI	71104	79440	161
02874	RI	90020	118609	5081
02875	RI	72819	89720	307
02876	RI	80080	88709	80
02878	RI	62530	76645	15257
02879	RI	70848	90447	19172
02881	RI	47075	60168	6387
02882	RI	61144	87365	14807
02885	RI	54317	71228	11386
02886	RI	59954	71363	30234
02888	RI	58509	66680	20650
02889	RI	60122	68714	29615
02891	RI	61399	74554	21338
02892	RI	80222	98074	4846
02893	RI	52342	60430	29518
02894	RI	72539	88044	730
02895	RI	40457	48968	43198
02896	RI	79213	87184	10549
02898	RI	72768	89413	1672
02903	RI	26262	51971	9350
02904	RI	44102	57490	28539
02905	RI	34503	46205	20393
02906	RI	64563	102753	29878
02907	RI	30216	40140	27163
02908	RI	40373	52099	38036
02909	RI	33877	45087	40945
02910	RI	58287	62429	20959
02911	RI	48687	58607	15508
02912	RI	60938	124502	1016
02914	RI	46275	55014	22316
02915	RI	52780	67882	18127
02916	RI	59302	73541	8220
02917	RI	71030	85287	13288
02919	RI	59408	66484	28253
02920	RI	54380	65389	37423
02921	RI	85748	105690	10608
03031	NH	115544	134503	10879
03032	NH	90082	98874	4674
03033	NH	101722	105947	4185
03034	NH	90986	96056	3961
03036	NH	99970	114222	3785
03037	NH	85573	93969	3638
03038	NH	72374	82126	33893
03042	NH	73405	87635	5479
03043	NH	67541	77721	1500
03044	NH	76929	80916	3491
03045	NH	76696	85933	12705
03046	NH	95682	112556	2226
03047	NH	69136	80002	1686
03048	NH	63151	70795	3333
03049	NH	112885	159945	7013
03051	NH	77996	88948	22952
03052	NH	100051	102541	7331
03053	NH	93465	104876	23364
03054	NH	92954	100328	25094
03055	NH	70617	80757	13437
03057	NH	97234	110769	2091
03060	NH	45861	58717	29540
03062	NH	83501	94152	26234
03063	NH	75894	85916	16175
03064	NH	68657	83760	14652
03070	NH	86118	108691	4097
03071	NH	72739	85830	4294
03076	NH	93085	103680	10913
03077	NH	61164	69251	9669
03079	NH	68841	87526	28011
03082	NH	80299	77177	1519
